City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,saipan,15.1355,145.701,81.3,100,40,11.5,MP,2023-06-07 12:44:59
119,fale old settlement,-9.3852,-171.2468,83.57,69,20,8.46,TK,2023-06-07 12:44:59
120,yellowknife,62.456,-114.3525,48.72,87,100,6.91,CA,2023-06-07 12:40:16
121,polyarnyy,69.1989,33.4478,42.6,67,99,0.94,RU,2023-06-07 12:42:43
122,ust-nera,64.5667,143.2,44.31,97,100,1.32,RU,2023-06-07 12:45:00
123,ambodifotatra,-16.9833,49.85,78.55,71,0,10.16,MG,2023-06-07 12:42:32
124,carnarvon,-24.8667,113.6333,64.08,58,0,14.63,AU,2023-06-07 12:45:00
125,keflavik,64.0049,-22.5624,49.91,71,100,20.71,IS,2023-06-07 12:45:00
126,arrifes,37.7667,-25.7,66.45,68,40,14.97,PT,2023-06-07 12:45:01
127,luderitz,-26.6481,15.1594,56.98,79,0,10.18,NA,2023-06-07 12:45:01
128,talnakh,69.4865,88.3972,47.21,94,99,5.82,RU,2023-06-07 12:45:01
129,machico,32.7,-16.7667,74.03,82,40,19.57,PT,2023-06-07 12:45:02
130,salto de agua,17.6167,-92.3667,92.16,42,76,2.95,MX,2023-06-07 12:45:02
131,pisco,-13.7,-76.2167,71.65,73,100,4.61,PE,2023-06-07 12:45:03
132,coronel dorrego,-38.7187,-61.2873,63.88,20,55,10.36,AR,2023-06-07 12:45:04
133,dudinka,69.4058,86.1778,47.62,88,98,9.33,RU,2023-06-07 12:45:04
134,sitka,57.0531,-135.33,55.29,71,40,5.75,US,2023-06-07 12:45:04
135,pankrushikha,53.8319,80.3406,69.62,56,86,6.31,RU,2023-06-07 12:45:05
136,gaigeturi,33.4644,126.3183,66.25,88,75,5.75,KR,2023-06-07 12:45:05
137,utrik,11.2278,169.8474,81.55,83,34,16.87,MH,2023-06-07 12:45:05
138,nova sintra,14.8667,-24.7167,72.61,72,9,4.41,CV,2023-06-07 12:45:06
139,aasiaat,68.7098,-52.8699,30.9,76,88,12.97,GL,2023-06-07 12:45:06
140,medina,24.4686,39.6142,100.83,8,0,10.36,SA,2023-06-07 12:45:06
141,den burg,53.0542,4.7972,62.01,79,75,13.8,NL,2023-06-07 12:45:07
142,kone,-21.0595,164.8658,62.38,74,1,1.92,NC,2023-06-07 12:45:07
143,perry,37.2506,-83.1999,66.92,94,100,9.26,US,2023-06-07 12:37:58
144,smiths falls,44.9001,-76.0161,59.99,79,99,10.18,CA,2023-06-07 12:45:08
145,fot,47.6177,19.1887,70.59,77,71,4.0,HU,2023-06-07 12:45:08
146,severo-yeniseyskiy,60.3725,93.0408,62.38,80,38,3.94,RU,2023-06-07 12:45:08
147,lubango,-14.9172,13.4925,59.43,46,25,5.08,AO,2023-06-07 12:45:09
148,punta arenas,-53.15,-70.9167,41.11,65,20,25.32,CL,2023-06-07 12:45:09
